name	@lat	@lon
Marszałka Józefa Piłsudskiego	50.0594627	19.9267257
Czesława Miłosza	50.0762913	19.9473386
Aleksandra Lubomirskiego	50.0668293	19.9586363
Wita Stwosza	50.0719680	19.9479888
Wita Stwosza	50.0681500	19.9514552
Wita Stwosza	50.0685294	19.9507278
Wita Stwosza	50.0720910	19.9481062
Wita Stwosza	50.0700449	19.9493743
Aleksandra Lubomirskiego	50.0678189	19.9529618
Wita Stwosza	50.0680592	19.9522027
Wita Stwosza	50.0731817	19.9470325
Wita Stwosza	50.0739258	19.9461241
Aleksandra Lubomirskiego	50.0676431	19.9535909
Czesława Miłosza	50.0757878	19.9471609
Czesława Miłosza	50.0744365	19.9459715
Pawia	50.0647223	19.9449648
Rakowicka	50.0771293	19.9591360
Bohdana Zaleskiego	50.0679808	19.9599009
Olszyny	50.0727847	19.9653115
Szlak	50.0704314	19.9436066
Szlak	50.0704793	19.9447193
Ogrodowa	50.0685677	19.9447858
Zacisze	50.0668081	19.9435701
Bosacka	50.0677344	19.9499158
Topolowa	50.0672660	19.9504466
Topolowa	50.0666789	19.9540165
Wenecja	50.0603515	19.9272086
Mydlnicka	50.0631250	19.9026683
Hamernia	50.0683802	19.8874516
Generała Tadeusza Bora-Komorowskiego	50.0854679	19.9748699
Generała Tadeusza Bora-Komorowskiego	50.0853161	19.9753228
Rondo Polsadu	50.0851741	19.9715299
Lublańska	50.0887111	19.9732690
Rondo Polsadu	50.0853143	19.9709167
Młyńska	50.0847454	19.9704457
Dobrego Pasterza	50.0890579	19.9733737
Dobrego Pasterza	50.0889490	19.9730349
Dobrego Pasterza	50.0889782	19.9727857
Strzelców	50.0895753	19.9737852
Powstańców	50.0915511	19.9604286
Powstańców	50.0982213	19.9733981
Dobrego Pasterza	50.0892901	19.9750284
Macieja Miechowity	50.0838698	19.9701281
Stanisława ze Skalbmierza	50.0804392	19.9688490
Olszyny	50.0730996	19.9656321
Olszyny	50.0733423	19.9658656
Rusznikarska - Deptak	50.0856861	19.9282685
Stanisława Grochowiaka	50.0931516	19.9249283
Stanisława Grochowiaka	50.0936219	19.9243603
Rusznikarska - Deptak	50.0848026	19.9283437
Józefa Chełmońskiego	50.0967718	19.8944627
Józefa Chełmońskiego	50.0983806	19.8903441
Józefa Chełmońskiego	50.0982831	19.8906542
