Młodej Polski,50.0736798,19.9013952
Królowej Jadwigi,50.0562464,19.9038213
Świętego Filipa,50.0677699,19.9420025
Aleja Kasztanowa,50.0662714,19.8588370
Świerkowa,50.0624872,19.8640697
Aleja Modrzewiowa,50.0612459,19.8646301
Podzamcze,50.0551411,19.9340957
Wielicka,50.0263600,19.9772088
Piastowska,50.0705223,19.9041742
28 Lipca 1943,50.0643028,19.8753273
Jodłowa,50.0491783,19.8688722
Marszałka Mikołaja Wolskiego,50.0474927,19.8243935
Oboźna,50.0778910,19.9277786
Cieszyńska,50.0748436,19.9303099
Na Błonie,50.0785550,19.8804691
Piotra Borowego,50.0643412,19.8902966
Podłużna,50.0680972,19.8466128
Chełmska,50.0677154,19.8467885
Olszanicka,50.0678437,19.8464789
Rondo im. Żołnierzy Wyklętych,50.0742378,19.9289878
Mazowiecka,50.0773360,19.9199838
Świętokrzyska,50.0744499,19.9291688
Rynek Kleparski,50.0673517,19.9409686
Plac Jana Matejki,50.0664702,19.9423272
Świętego Rafała Kalinowskiego,50.0704179,19.9451906
Pędzichów,50.0711131,19.9390001
Zygmunta Wróblewskiego,50.0696453,19.9390121
Ambrożego Grabowskiego,50.0669855,19.9275781
Bosacka,50.0651076,19.9492018
Filtrowa,50.0779932,19.8782265
Zygmunta Starego,50.0776695,19.8765209
Włodzimierza Tetmajera,50.0864234,19.8800826
Majora Łupaszki,50.0907896,19.8648195
Tadeusza Boya-Żeleńskiego,50.0866735,19.8801540
Władysława Żeleńskiego,50.0906787,19.8783936
Krowoderskich Zuchów,50.0839335,19.9306887
Rusznikarska,50.0853552,19.9270175
Bolesława Prusa,50.0573934,19.9163649
Śląska,50.0748280,19.9323664
Rondo Andrzeja Pamuły,50.0005927,19.9447256
Podmokła,50.0055289,19.9441911
Zbigniewa Herberta,50.0141360,19.9452565
Węzeł Łagiewnicki Adama Sapiehy,50.0008158,19.9400513
Elżbiety Drużbackiej,49.9763396,19.9880371
Józefa Friedleina,50.0768424,19.9314413
Plac Teodora Axentowicza,50.0717428,19.9248015
Kujawska,50.0738038,19.9231142
Aleja Artura Grottgera,50.0741032,19.9239971
Miechowska,50.0666667,19.9142195
Kamienna,50.0773843,19.9467273
Zdrowa,50.0875842,19.9454412
Henryka Pachońskiego,50.0932830,19.9214733
Ofiar Dąbia,50.0518339,19.9786476
Portowa,50.0511225,19.9785028
Prądnicka,50.0741642,19.9361325
Akademicka,50.0659191,19.9171335
Toruńska,50.0687678,19.9105001
Wadowicka,50.0291005,19.9366683
Żabiniec,50.0822266,19.9463341
Leśna,50.0614858,19.8706312
Aleja Kasy Oszczędności Miasta Krakowa,50.0564014,19.8540721
